Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
0,8.0,4.846153846153846,56.0,0.0
1,18.0,8.024896265560166,285.5,0.5
2,12.0,8.657142857142857,857.0,0.0
3,20.0,13.661016949152541,71.0,0.0
4,7.0,4.083333333333333,52.0,0.0
5,2.0,1.5,14.0,0.0
6,8.0,4.5,116.0,0.0
7,17.0,12.285714285714286,141.0,0.0
8,5.0,3.230769230769231,0.0,0.0
9,7.0,3.888888888888889,111.0,0.0
10,10.0,5.409090909090909,65.0,0.5
11,14.0,8.466666666666667,210.0,0.0
12,13.0,7.8,48.0,0.16666667
13,8.0,4.3076923076923075,16.5,0.0
14,1.0,1.0,22.0,0.0
15,0.0,0.0,0.0,0.0
16,5.0,3.75,56.0,0.0
17,4.0,3.142857142857143,56.0,0.0
18,5.0,3.1785714285714284,90.0,0.0
19,10.0,6.217391304347826,253.0,0.0
20,7.0,4.823529411764706,238.0,0.0
21,11.0,6.958333333333333,240.0,0.0
22,12.0,6.964285714285714,252.0,0.0
23,9.0,6.0,240.0,0.0
24,8.0,5.555555555555555,234.0,0.0
25,3.0,2.5,54.0,0.0
26,6.0,4.333333333333333,54.0,0.0
27,2.0,1.8,50.0,0.0
28,4.0,2.6923076923076925,221.0,0.0
29,6.0,4.0625,240.0,0.0
30,1.0,1.0,44.0,0.0
31,2.0,1.5,152.0,0.05
32,1.0,1.0,80.0,0.033333335
33,0.0,0.0,0.0,0.5
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,5.0,3.5,224.0,0.0
37,3.0,2.2,180.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,5.0,2.923076923076923,159.0,0.16666667
46,16.0,10.472727272727273,144.0,0.0
47,20.0,9.261410788381744,0.0,0.33333334
48,13.0,8.033333333333333,8.0,0.0
49,9.0,4.923076923076923,148.5,0.0
50,7.0,3.3823529411764706,200.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,10.0,4.135714285714286,1666.4444444444443,0.0
54,7.0,3.411764705882353,162.0,0.0
55,4.0,3.625,64.0,0.0
56,5.0,4.222222222222222,54.0,0.0
57,3.0,1.75,16.0,0.0
58,11.0,5.1063829787234045,132.23611111111111,0.0
59,8.0,4.8,68.0,0.0
60,9.0,5.615384615384615,48.0,0.0
61,2.0,1.989795918367347,285.66666666666663,0.0
62,0.0,0.0,0.0,0.0
63,3.0,2.25,14.0,0.0
64,3.0,2.0416666666666665,59.41111111111111,0.0
65,2.0,1.75,16.0,0.0
66,2.0,1.9523809523809523,84.0,0.0
67,1.0,1.0,2.0,0.0
68,4.0,2.8,13.0,0.0
69,1.0,1.0,15.0,0.0
70,8.0,2.8469387755102042,1269.4666666666667,0.017857144
71,1.0,1.0,3.0,0.0
72,0.0,0.0,0.0,0.041666668
73,8.0,4.0,166.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,3.0,2.4482758620689653,87.0,0.0
77,8.0,4.285714285714286,87.0,0.0
78,9.0,3.408,1752.7499999999998,0.0
79,11.0,5.077464788732394,1285.2083333333335,0.0
80,2.0,1.9285714285714286,84.0,0.0
81,8.0,3.661290322580645,178.81111111111113,0.0
82,2.0,1.5,10.0,0.0
83,9.0,6.143790849673203,20.333333333333332,0.0
84,9.0,6.143790849673203,167.0,0.0
85,9.0,6.177631578947368,17.333333333333332,0.0
86,8.0,4.0,84.83333333333333,0.0
87,2.0,1.9583333333333333,168.0,0.0
88,3.0,2.8076923076923075,156.0,0.0
89,2.0,1.5,10.0,0.0
90,8.0,3.953488372093023,118.83333333333333,0.0
91,3.0,2.8,75.0,0.0
92,0.0,0.0,0.0,0.0
93,1.0,1.0,1.5,0.0
94,2.0,1.9714285714285715,82.57222222222222,0.0
95,2.0,1.5,4.0,0.0
96,9.0,6.143790849673203,56.0,0.0
97,1.0,1.0,4.5,0.0
98,4.0,2.96,38.41111111111111,0.0
99,8.0,5.211920529801325,1011.6666666666666,0.0
100,1.0,1.0,0.0,0.5
101,0.0,0.0,0.0,0.0
102,1.0,1.0,5.0,0.0
103,7.0,3.9583333333333335,323.59999999999997,0.05
104,0.0,0.0,0.0,0.0
105,1.0,1.0,17.5,0.023809524
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
