Id,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Component ID,Strongly-Connected ID
0,0.0,0.0,0.0,0.0,0,0
1,0.0,1.0,1.0,0.0,1,2
2,0.0,1.0,1.0,0.0,1,3
3,0.0,1.0,1.0,0.0,0,5
4,0.0,1.0,1.0,0.0,0,7
5,0.0,1.0,1.0,0.0,2,9
6,0.0,1.0,1.0,0.0,0,10
7,0.0,1.0,1.0,0.0,0,12
8,0.0,1.0,1.0,0.0,0,14
9,0.0,1.0,1.0,0.0,3,16
10,0.0,1.0,1.0,0.0,0,18
11,0.0,1.0,1.0,0.0,0,19
12,0.0,1.0,1.0,0.0,0,20
13,0.0,1.0,1.0,0.0,1,21
14,0.0,1.0,1.0,0.0,0,22
15,0.0,1.0,1.0,0.0,4,24
16,0.0,1.0,1.0,0.0,0,25
17,0.0,1.0,1.0,0.0,0,27
18,0.0,1.0,1.0,0.0,0,28
19,0.0,1.0,1.0,0.0,0,29
20,0.0,1.0,1.0,0.0,0,30
21,0.0,1.0,1.0,0.0,5,32
22,0.0,1.0,1.0,0.0,0,33
23,0.0,1.0,1.0,0.0,1,34
24,0.0,1.0,1.0,0.0,0,35
25,0.0,1.0,1.0,0.0,0,36
26,0.0,1.0,1.0,0.0,0,37
27,0.0,1.0,1.0,0.0,0,38
28,0.0,1.0,1.0,0.0,0,40
29,0.0,1.0,1.0,0.0,1,41
30,0.0,1.0,1.0,0.0,1,42
31,0.0,1.0,1.0,0.0,0,43
32,0.0,1.0,1.0,0.0,0,44
33,0.0,1.0,1.0,0.0,0,45
34,0.0,1.0,1.0,0.0,0,47
35,0.0,1.0,1.0,0.0,0,48
36,0.0,1.0,1.0,0.0,0,49
37,0.0,1.0,1.0,0.0,0,50
38,0.0,1.0,1.0,0.0,6,52
39,0.0,1.0,1.0,0.0,0,54
40,0.0,1.0,1.0,0.0,0,55
41,0.0,1.0,1.0,0.0,1,56
42,0.0,1.0,1.0,0.0,0,57
43,0.0,1.0,1.0,0.0,0,58
44,0.0,1.0,1.0,0.0,0,59
45,0.0,1.0,1.0,0.0,0,60
46,0.0,1.0,1.0,0.0,0,61
47,0.0,1.0,1.0,0.0,1,62
48,0.0,1.0,1.0,0.0,0,63
49,0.0,1.0,1.0,0.0,7,65
50,0.0,1.0,1.0,0.0,0,66
51,0.0,1.0,1.0,0.0,0,67
52,0.0,1.0,1.0,0.0,1,68
53,0.0,1.0,1.0,0.0,0,69
54,0.0,1.0,1.0,0.0,0,70
55,0.0,1.0,1.0,0.0,0,71
56,0.0,1.0,1.0,0.0,0,72
57,0.0,1.0,1.0,0.0,8,74
58,0.0,1.0,1.0,0.0,9,76
59,0.0,1.0,1.0,0.0,0,77
60,0.0,1.0,1.0,0.0,0,78
61,0.0,1.0,1.0,0.0,10,80
62,0.0,1.0,1.0,0.0,0,81
63,0.0,1.0,1.0,0.0,0,82
64,0.0,1.0,1.0,0.0,0,83
65,0.0,1.0,1.0,0.0,0,84
66,0.0,1.0,1.0,0.0,0,85
67,0.0,1.0,1.0,0.0,0,86
68,0.0,1.0,1.0,0.0,0,87
69,0.0,1.0,1.0,0.0,0,89
70,0.0,1.0,1.0,0.0,1,90
71,0.0,1.0,1.0,0.0,0,91
72,0.0,1.0,1.0,0.0,0,92
73,0.0,1.0,1.0,0.0,0,93
74,0.0,1.0,1.0,0.0,0,94
75,0.0,1.0,1.0,0.0,0,95
76,0.0,1.0,1.0,0.0,0,96
77,0.0,1.0,1.0,0.0,11,98
78,0.0,1.0,1.0,0.0,1,99
79,0.0,1.0,1.0,0.0,1,100
80,0.0,1.0,1.0,0.0,7,101
81,0.0,1.0,1.0,0.0,0,103
82,0.0,1.0,1.0,0.0,12,105
83,0.0,1.0,1.0,0.0,0,106
84,0.0,1.0,1.0,0.0,0,107
85,0.0,1.0,1.0,0.0,13,109
86,0.0,1.0,1.0,0.0,12,110
87,0.0,1.0,1.0,0.0,1,111
